question,text
What is typically limited to an individual?,number of tags issued
A wildlife management unit is a place where what may be restricted to?,Tags
What kind of stamp is required to hunt migratory waterfowl?,duck
When hunting big game what is typically required?,tag
What must be purchased with hunting license is comes in a limited number?,Tags
How are tags assigned if there are more hunters than game?,by lottery
What is required of hunting migratory waterfowl?,duck stamp
Who issues requirement for hunting migratory waterfowl?,Fish and Wildlife Service
How is gun usage typically regulated?,"game category, area within the state, and time period"
What often specify a minimum caliber or muzzle energy for firearms?,Regulations for big-game hunting
Why is the use of rifles often banned?,safety reasons
Why may regulations ban the use of lead in ammunition?,environmental concerns
Why are specific seasons for bow hunting established?,limit competition with hunters using more effective weapons
Why are the use of rifles banned?,safety reasons
How is gun useage regulated?,by game category
What is specified in big-game hunting?,minimum caliber
What is hunting in the U.S. not associated with?,any particular class or culture
What percentage of Americans supported legal hunting in 2006?,seventy-eight percent
What percentage of Americans actually hunted at the beginning of the 21st century?,just six percent
What percentage of Midwesterners hunted?,twelve percent
How much did the number of hunters over the age of sixteen decline in the period between 1996-2006?,ten percent
What percentage of Americans support legal hunting?,seventy-eight percent
What percentage of Americans actually hunted at the beginning of the 21st century?,six percent
South Easterners hunted at what rate?,five percent
Midwesterners hunted at what rate?,twelve percent
What years did hunting decline?,1996–2006
When do hunting regulations date from in the US?,19th century
What do some modern hunters see themselves as?,conservationists and sportsmen
What organizations provide hunter education and help protect the future of the sport?,Local hunting clubs and national organizations
Ducks Unlimited and the Delta Waterfowl are examples of groups representing what?,a specific hunting interest
What do many hunting groups participate in doing at the federal and state level?,lobbying
What do modern hunters see themselves as?,conservationists and sportsmen
Who provides hunter education?,Local hunting clubs
What do hunting groups also participate in?,lobbying the federal government and state government
What century is U.S. regulations dates from?,19th
How much money is distributed to state agencies to support wildlife management programs each year?,$200 million
How much money has the sale of Federal Duck Stamps raised since 1934?,over $700 million
How many acres can the money raised from the sale of federal duck stamps help purchase?,"5,200,000 acres"
What do states use some of the money from hunting licenses to assist with?,management of game animals
What is a key task of state park rangers and game wardens?,to enforce laws and regulations related to hunting
Who are federal excise taxes are distributed to?,state agencies
What do the taxes support?,wildlife management programs
How much has Federal Duck Stamps raised?,$700 million
What does land has Federal Duck Stamp money helped purchase?,"5,200,000 acres"
Park rangers and game wardens enforce laws and regulations related to what?,hunting
What is varmint hunting an American phrase for?,selective killing of non-game animals seen as pests
What does varmint hunting achieve? ,selective control of pests
What detrimental effects are varmint species often responsible for visiting on?,"crops, livestock, landscaping, infrastructure, and pets."
Where has a non-native rodent known as a nutria become very destructive?,Louisiana
What has the state of Louisiana done to combat the nutria?,initiated a bounty program
What is phrased for selective killing of non-game animals.,Varmint hunting
What was once considered a varmint but is now protected?,wolves
What is the non-native varmint of Louisiana?,nutria
What did Louisiana initiate to control the varmint population?,bounty program
When was internet hunting introduced?,2005
How did Internet hunting allow people to hunt?,using remotely controlled guns
Who criticized the practice of Internet hunting?,hunters
What did hunters feel hunting over the Internet violated?,principles of fair chase
What has the NRA always maintained that being in the field with your firearm is?,an important element of hunting tradition
What allows people to hunt over the internet?,Internet hunting
When was this type of hunting introduced?,2005
How is this type of hunting done?,hunt over the Internet using remotely controlled guns
What was the principle was this type of hunting said to violate?,fair chase
Who spoke on this violation?,National Rifle Association (NRA)
Approximately how many sport hunters applied for hunting licences in recent years?,"12,000"
Where is there a very active tradition of hunting of small to medium-sized wild game?,Trinidad and Tobago
What is there a very lucrative and thriving black market for?,poached wild game
What is hunting pressure from?,high
What very active tradition Trinidad and Tabago have?,hunting of small to medium-sized wild game
What animal aids in the hunting?,hounds
What population has extirpated?,red brocket deer
What do hunters pay to obtain hunting license?,very small fees
What does hunting give resource managers an important tool?,managing populations
What is carrying capacity in most circumstances determined by?,"combination habitat and food availability,"
What do some environmentalists assert reintroducing predators would achieve?,same end
How is hunting an important tool for resource managers?,managing populations
What happens if a population exceeds the carrying capacity of their habitat?,threaten the well-being of other species
How can hunting actually increase the population of predators?,by removing territorial bounds that would otherwise be established
What do some hunting advocates assert that is indirectly reduced among animals when intraspecific competition has been reduced?,mortality
"What would environmentalists have done, instead of hunting?",(re)introducing predators
What is an important tool in managing populations?,Hunting
What is carrying capacity determined by?,combination habitat and food availability
What can it increase the population of?,predators
What did sport hunters in the 19th century purse game for?,trophy
What was the head of an animal displayed as?,sign of prowess
What happened to the rest of the animal?,s typically discarded
What did some churches disapprove of?,such waste
What countries frowned upon this hunting?,Nordic
What was the only goal for many European sport hunters in the 19th century?,a trophy
What types of trophies would hunters keep as trophies to be displayed as a sign of their prowess?,the head or pelt of an animal
"In what countries was the hunting for trophies frowned upon, back in the day and in modern times?",Nordic
What was hunting in North American in the 19th century used to supplement? ,food supplies
What destinations did sport hunting see elaborate travel to in the pursuit of trophies?,"Africa, India and other places"
What century was game hunted as a trophy?,19th
What countries is trophy hunting frowned upon?,Nordic
What did North America primarily hunt for?,food supplies
What sport of hunting is in Africa?,safari method
What Continent did the biological Conservation state trophy hunting is of major importance to the conservation of?,Africa
What does hunting create economic incentives for?,conservation
What did another study show that less than 3% of reached the local level?,expenditures
What type of studies does the Biological Conservation journal publish?,scientific
Why is trophy hunting important to conservation in Africa?,creating economic incentives for conservation over vast areas
Trophy hunting can include areas which would likely be unsuitable for what other types of ecotourism?,photographic
"How much of a trophy hunters' expenditures actually reach the local level, according to another study?",less than 3%
What thus is the level of economic incentive and benefit?,minimal
What is of major importance in Africa?,trophy hunting
What does trophy hunting create in Africa?,economic incentives for conservation
How much of trophy hunters expenditures actually reach the local level?,less than 3%
What do a variety of industries benefit from?,hunting
Where is it estimated that a hunter spends fifty to one hundred times that of the average ecotourist?,Tanzania
Where does the average safari hunter stay in?,tented camps
Advocates argue these hunters allow for what type of activities? ,anti-poaching
What do a variety of industries obtain benefit from?,hunting
In what country is it estimated that a safari hunter spends fifty to one hundred times what an average ecotourist does?,Tanzania
What type of accommodations does the average photographer touring Tanzania seek?,luxury
Where does the typical safari hunter hang his hat at night?,in tented camps
Where can safari hunters go which are uninviting to the less hardcore ecotourist?,remote areas
How much does a safari hunter spend compared to an average ecotourist?,fifty to one hundred times
What does the photo tourist seek?,luxury accommodation
Where does a safari hunter usually stay?,tented camps
What hunters allow for anti-poaching activities?,Safari hunters
Hunting has significant financial impact in what country?,the United States
What do many companies specialize in apropos to hunting?,equipment or speciality tourism
"""There's an app for that!"",  what have been different technologies been created to do?",assist hunters
What broad range of backgrounds do today's hunters come from?,"economic, social, and cultural"
How much money did the thirteen million hunters spend on their sport in 2001?,over $20.5 billion
What type of financial impact does hunting have on the U.S.?,significant financial impact
What has been developed in the U.S. to help hunters?,different technologies
One technology that is available for hunters in the U.S. is?,iPhone applications
How much did hunters spend in 2001?,over $20.5 billion
What do the proceeds from hunting assist with?,preservation of wildlife habitat
What has excessive hunting contributed heavily to?,"the endangerment, extirpation and extinction of many animals"
"What do Steller's sea cow, the bluebuck, and the Javan tigers all have in common?",extinction
Why have poachers killed endangered animals?,primarily for commercial sale or sport.
How have the North American cougar and Asian elephant been hunted?,to endangerment or extinction
How is excessive hunting related to the extinction of species?,contributed heavily
What contributes to endangerment?,excessive hunting
What have poachers contributed to hunting?,endangerment
Who signed the Migratory Bird Hunting Stamp Act?,President Franklin D. Roosevelt
When did Roosevelt sign the Migratory Bird Hunting Stamp Act?,16 March 1934
What does the Act require all hunters over the age of sixteen to do?,an annual stamp purchase
What do 98% of all the funds generated by the stamp sales go to?,the purchase or lease of wetland habitat
How much of the nation's endangered species is it estimated benefits from the protection afford by the Duck Stamp funds?,one third
What act was signed in 1934?,Migratory Bird Hunting Stamp Act
What President signed this act?,Franklin D. Roosevelt
What is the requirement of the act?,annual stamp purchase by all hunters over the age of sixteen
What do the stamps depict?,wildlife artwork
What percentage of the endangered species seek food and shelter in areas protected using Duck Stamp Funds.,one third
How much money has the sale of Federal Duck Stamps generated since 1934?,$670 million
How many acres has the sale of Federal Duck Stamps helped to purchase or lease since 1934?,"5,200,000 acres"
What do the stamps give the purchaser a license to do?,hunt migratory birds
Who accounts for eighty-seven percent of the sale of duck stamps?,hunters
Who manages the distribution of the funds obtained by the sale of the stamps?,Migratory Bird Conservation Commission
How much money has been generated due to the Duck Stamp act?,$670 million
How much land has the Duck Stamp Act help purchase?,"5,200,000 acres"
What do the Duck Stamps serve as?,license to hunt migratory birds
What percent of sales are contributed by hunters?,eighty-seven
Who manages distribution of funds?,Migratory Bird Conservation Commission (MBCC)
What large species of antelope once made its home in the desert areas of the Middle East?,The Arabian oryx
Why did sport hunters find the Arabian oryx to be a worthwhile quarry to hunt?,the species' striking appearance
When did the Arabian oryx become extinct in the wild due to sport hunting?,1972
How did hunters obliterate the advantage bestowed upon the oryx by evolution?,use of automobiles and high-powered rifles
"What animal has made a miraculous comeback and been upgraded from ""extinct in the wild"" to ""vulnerable""?",Arabian oryx
What is a species of large antelope?,Arabian oryx
What did the large antelope species once inhabit?,much of the desert areas of the Middle East
What destroyed the Arabian oryx only advantage of speed.,automobiles and high-powered rifles
When did the Arabian oryx become extinct?,1972
What contributed to the Arabian oryx rise from extinct to vulnerable?,conservation efforts
What type of creature is the American bison?,a large bovid
What did the American bison inhabit much of prior to the 1800s?,western North America
What did market hunters leave the parts of the bison they didn't need to do?,rot
What was the population of bison herds around prior to being eliminated by thousands of market hunters?,several million
What is the current status of bison?,near-threatened
What did large herds of bison attract?,market hunters
What part of North America did the bison live?,western
Why were the bison killed?,for their hides
What did hunter do with the rest of the bison?,leaving the rest to rot
What do bison still remain?,near-threatened
Why has Botswana been forced to ban trophy hunting altogether?,a precipitous wildlife decline
What plummeting numbers of this species caused a decline in predator numbers?,antelope
What species saw its numbers rising while elephant numbers remained stable?,hippopotamus
What factors other than trophy hunting are responsible for the decline of wildlife in Botswana?,"poaching, drought and habitat loss"
What other African country has also recently banned trophy hunting?,Uganda
What Botswana was resently forced to do?,ban trophy hunting
What animal declined across Botswana?,antelope
What animal numbers have increased in Botswana?,hippopotamus
What animal numbers remain stable in Botswana?,elephant
What else is partly to blame for the declining number of animals in Botswana and Uganda? ,poaching
